date,call_volume,put_volume,call_premium,put_premium,put_call_ratio,bearish_premium,bullish_premium,ticker,avg_3_day_call_volume,avg_3_day_put_volume,avg_7_day_call_volume,avg_7_day_put_volume,avg_30_day_call_volume,avg_30_day_put_volume,total_open_interest,call_open_interest,put_open_interest,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,avg_30_day_put_oi,avg_30_day_call_oi,net_call_premium,net_put_premium,next_earnings_date,er_time,sector,full_name,marketcap,issue_type,is_index,next_dividend_date,close,high,low,total_volume,avg30_volume,prev_close,week_52_high,week_52_low,implied_move,implied_move_perc,volatility,iv30d,iv30d_1d,iv30d_1w,iv30d_1m,iv_rank,prev_call_oi,prev_put_oi
2025-12-23,3621772,4451561,547627749.0000,716694545.00,1.2291113300340275,515843708.0000,549883536.0000,SPY,6009300.6667,5728810.3333,5850622.1429,5542680.5714,5104414.1667,5315597.9667,14272145,5178948,9093197,1755358,1688243,1962428,2222380,11869605.6333,5562047.9333,21500030.0000,-23731838.00,,,,SPDR S&P 500 ETF,684.968169,ETF,f,2025-06-20,687.96,688.2,683.87,56185242,80451580.75,684.83,689.7,481.80,2.4012731668098,0.003489766116074642,0.056654968256097,0.1125585384605201,0.1151,0.133,0.1997,0.3157,5057627,8906506
2025-12-23,2018586,2323398,444249604.0000,421787868.00,1.1510027316151008,383191311.0000,360244071.0000,QQQ,2589102.3333,3030378.3333,3155840,3120800.5714,2822933.1,2909144.9667,8582541,3396654,5185887,938029,927514,1001455,1166254,6338580.2333,4042671.0667,7158581.0000,19805285.00,,,,INVESCO QQQ ,385698577500,ETF,f,,622.11,622.41,617.78,37387966,52727771.65,619.21,637.01,402.39,3.22152805543863,0.00517797360074359,0.0837490278130489,0.1514669398184902,0.1559,0.1806,0.2675,1.0668,3270409,5114552
2025-12-23,1697496,1863089,1189163434.0000,1100991928.0000,1.097551334436134,936511057.0000,901566002.0000,SPXW,1667181.3333,1958509.6667,1780175,2071439,1756934.7333,1982046.9,4914067,1630807,3283260,589252,754865,676582,808380,3361507.7,1502252.5667,-7806188.0000,3837973.0000,,,,S&P 500 Index (Weekly),,,t,,,,,,,,6147.4302,5773.3101,23.37305302549061,0.003382496819897338,0.0549689995401666,0.1075965072880634,0.1086,0.1315,0.1917,0.8488,1553288,3136580
2025-12-23,2005744,922259,1187520287.5000,287762035.00,0.459808928756611,504463597.00,759473812.5000,NVDA,1594727.3333,1035183.6667,1572653.7143,918746.4286,1798626.4667,1008083.2333,17218708,9259540,7959168,914622,863806,389875,440500,9553418.1333,10783952.1,79808877.5000,-35305659.00,2026-02-25,unknown,Technology,NVIDIA CORP,4463667000000,Common Stock,f,2025-12-04,189.21,189.33,182.9,152104931,189708039.5,183.69,212.1899,86.62,2.647832630482717,0.01400562074783908,0.220563580929069,0.324721176304061,0.3265,0.3563,0.5096,5.3694,9046664,7872742
2025-12-23,1073496,732898,1179042840.0000,628329882.0000,0.6827207553637834,891040429.0000,760944178.0000,TSLA,1799067.3333,1211704,1970886.5714,1190279.4286,1440989.4,965838.8,7318961,4082328,3236633,459774,509873,319459,333236,3673390.7333,4328508.4333,-118412846.0000,9301475.0000,2026-02-04,unknown,Consumer Cyclical,TESLA INC,1625427601488,Common Stock,f,,485.56,491.97,482.84,54652723,78575626.9,488.73,498.83,214.25,8.76564915622346,0.01804262634300775,0.293143059109418,0.427512270183938,0.4513,0.5055,0.5554,0.472,3966201,3141695
2025-12-23,597551,752549,83215437.00,84155829.00,1.2593887383671016,77109103.00,73316205.00,IWM,608381.6667,930467,986514.5714,951938,776630.9,1133146.5333,8519802,2709306,5810496,281216,265767,350321,354066,8341887.5667,3418896.2667,387038.00,2432576.00,,,,ISHARES RUSSELL 2000 ETF,76643291425,ETF,f,,252.08,253.22,251.46,23593985,38582664.5,253.58,258.2,171.73,1.727631462610851,0.00685364063318795,0.1112933893952575,0.1684206832949969,0.1698,0.1903,0.2607,0,2656589,5748348
2025-12-23,714298,497446,301786491.00,63774074.00,0.6964124217063467,152645593.00,166941393.00,SLV,610919.3333,321640.6667,669772.4286,360429.5714,601373.3333,289877.1333,8333945,5108754,3225191,328619,284004,234319,204261,3138978.7667,5064969.4,4643049.00,1747249.00,,,,ISHARES SILVER TRUST,36931710450,ETF,f,,64.84,64.875,62.37,71955513,45592996.85,62.47,62.82,26.22,1.882446370089575,0.02903441613464295,0.470036122568239,0.537424384405757,0.4964,0.4454,0.3575,100,5061382,3184292
2025-12-23,427831,233961,110874573.00,1679198480.0000,0.5468537810490591,112011054.0000,106491364.0000,MSTR,263605.6667,296372.3333,300046.8571,268473.4286,348402.3333,234998.4333,2652852,1478897,1173955,146317,200455,75770,69145,1338646.4,1701309.8333,-5062756.00,6738514.0000,2026-02-04,unknown,Technology,MICROSTRATEGY INC,43990679855,Common Stock,f,,157.88,162.73,156.5,14486049,21867261.85,164.32,457.22,155.61,5.44879872603109,0.03452102588717113,0.561931420636388,0.679373531586817,0.6832,0.7524,0.9082,32.67,1447528,1156644
2025-12-23,396258,228217,374710057.0000,78602350.00,0.5759303282205028,165605478.0000,158627195.0000,GLD,618608,193212.3333,516918.5714,179569.7143,403204.7667,168645.7333,4967037,3444030,1523007,151326,146042,83178,101884,1934216.9,3493453.6,-4192898.00,-4841495.00,,,,SPDR GOLD TRUST,406.618936,ETF,f,,413.64,413.76,407.1,12366004,9877573.55,408.23,408.52,239.58,4.181905341779877,0.01011001194705511,0.1639075828185624,0.2302449619420419,0.2243,0.1906,0.2068,55.4367,3014701,1478570
2025-12-23,441034,177346,167278628.00,51062008.00,0.4021141227206973,94289016.00,96192532.00,AMZN,447640.3333,186693,403065.1429,168557.4286,402700.1667,173468.8667,4252223,2481647,1770576,196577,191023,75781,77274,1991316.4,2813314.2,5015173.00,3111657.00,2026-02-05,unknown,Consumer Cyclical,AMAZON.COM,2441966043393,Common Stock,f,,232.14,232.445,228.73,23867052,40885485.65,228.43,258.6,161.38,2.528938524583495,0.01089073909212995,0.1759524968974322,0.247539476798061,0.2474,0.2621,0.3473,3.9799,2407342,1732434
