option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251204C00684000,2025-12-04,2025-12-04 21:14:56+00,963571,13794,75946110.00,454910,482524,0,2.18,0.02,2.10,0.23,0.003948621112147665,0.24,0.27,101694,0.7881734713892385719370964815,26091,64387,0,40833,40726,8,46,29365,,,9678073,684.39,,1.63,ETF
SPY251204C00685000,2025-12-04,2025-12-04 21:13:58+00,855155,11124,43747605.00,401637,438058,0,1.51,0.01,1.48,0.01,0.00619089301609,0.00,0.01,87211,0.5115751530424309043389794928,15460,46476,0,14711,14660,5,0,22626,,,9678073,684.39,,1.09,ETF
SPY251204P00683000,2025-12-04,2025-12-04 21:11:18+00,701547,9844,57891295.00,329601,344134,0,1.99,0.01,0.62,0.01,0.01185090047060382,0.00,0.01,84797,0.8251948194490176709472066660,27768,45196,0,60612,57496,1,44,17484,,,9678073,684.39,,1.14,ETF
SPY251204P00684000,2025-12-04,2025-12-04 21:14:58+00,515802,9280,54920799.00,248052,235924,170,2.78,0.01,0.86,0.01,0.002930317586993769,0.01,0.02,60276,1.0647651424383775169541800864,31826,31313,0,137536,138255,2,0,17887,,,9678073,684.39,,1.52,ETF
SPY251204P00682000,2025-12-04,2025-12-04 21:12:00+00,491109,6476,30283314.00,227390,247040,0,1.44,0.01,0.44,0.01,0.01844651885303104,0.00,0.01,61881,0.6166312162880338173399387941,16529,33742,0,29759,28409,2,150,14107,,,9678073,684.39,,0.85,ETF
SPY251204C00683000,2025-12-04,2025-12-04 21:14:54+00,480714,11590,53841369.00,222643,230545,0,2.94,0.24,2.86,1.16,0.01371235753118351,1.24,1.29,57152,1.1200291441480797313995431818,27516,33373,0,103533,107477,17,10,19148,,,9678073,684.39,,2.23,ETF
SPY251204C00686000,2025-12-04,2025-12-04 21:14:34+00,468544,6710,15139762.00,211685,250134,0,0.98,0.01,0.93,0.01,0.0131614388566733,0.00,0.01,45569,0.3231235913809588853981696476,6616,25786,0,5397,5303,18,109,25933,,,9678073,684.39,,0.69,ETF
QQQ251204C00623000,2025-12-04,2025-12-04 21:14:46+00,414698,3460,30806077.00,197003,201133,50,2.87,0.01,2.87,0.07,0.003021881797088656,0.05,0.07,50158,0.7428556925762844286685732785,16562,17891,0,46531,47258,15,0,10961,,,5005210,622.94,,2.24,ETF
QQQ251204C00622000,2025-12-04,2025-12-04 21:14:58+00,380588,4605,40559880.00,185471,174526,0,3.63,0.12,3.63,1.00,0.00942237036129964,0.94,2.30,47825,1.0657162075525239891956656470,20591,23064,0,105127,104065,38,0,9151,,,5005210,622.94,,2.86,ETF
SPY251204C00687000,2025-12-04,2025-12-04 21:14:30+00,291485,6533,5341140.00,129799,158153,0,0.57,0.01,0.53,0.01,0.01923220893357606,0.00,0.01,24801,0.1832389316774448084807108392,3533,23964,0,1683,1632,0,0,11980,,,9678073,684.39,,0.42,ETF
