option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251229C00688000,2025-12-29,2025-12-29 21:14:58+00,868052,5654,39457298.00,411594,437175,0,1.85,0.02,1.01,0.03,0.003682874746383588,0.03,0.04,89352,0.4545499347965329265988673394,19283,47624,0,15321,15350,33,0,24440,,,7974230,687.85,,2.56,ETF
SPY251229P00687000,2025-12-29,2025-12-29 21:14:56+00,717319,7179,39063852.00,327254,374799,0,1.21,0.01,0.99,0.01,0.00685391584036432,0.00,0.01,89822,0.5445813090131447793798853749,15266,36616,0,13697,13640,14,0,13980,,,7974230,687.85,,0.31,ETF
SPY251229C00689000,2025-12-29,2025-12-29 21:14:58+00,529346,4183,13252789.00,248636,275474,0,1.20,0.01,0.60,0.01,0.00966513977925382,0.01,0.02,52549,0.2503615593581513792491111631,5236,23881,0,3830,3810,252,0,22722,,,7974230,687.85,,1.83,ETF
SPY251229P00686000,2025-12-29,2025-12-29 21:13:04+00,506475,7565,16413471.00,229571,269094,0,0.79,0.01,0.68,0.01,0.01389301414237627,0.00,0.01,59078,0.3240726788094180364282541079,7810,25410,0,4443,4414,0,0,17109,,,7974230,687.85,,0.22,ETF
SPY251229C00687000,2025-12-29,2025-12-29 21:14:28+00,491769,3607,38784329.00,226065,240248,220,2.62,0.26,1.57,0.81,0.00828623452670284,0.62,2.08,61286,0.7886696599419646216007922518,25456,26617,0,43063,42462,14,0,16687,,,7974230,687.85,,3.46,ETF
SPY251229P00688000,2025-12-29,2025-12-29 21:14:46+00,467022,7715,35994901.00,207516,231912,104,1.99,0.09,1.41,0.15,0.00848416567611119,0.15,0.35,61286,0.7707324494349302602446993903,27594,25666,0,47797,45443,0,0,12823,,,7974230,687.85,,0.46,ETF
URA260116C00025000,2025-12-29,2025-12-29 20:55:24+00,408734,18447,859831488.00000000,275848,113605,408720,21.30,20.60000000,20.89,21.30000000,2.036836740812909,20.30,21.30,12,21.036456179324450620697079274,19281,0,0,467,845,0,0,216720,,,1191257,45.74,,20.50,ETF
QQQ251229P00620000,2025-12-29,2025-12-29 21:14:56+00,328921,6344,23081671.00,150311,160858,0,2.00,0.01,1.44,0.01,0.00774096538724438,0.01,0.02,41322,0.7017390498022321469288978140,17752,15893,0,40205,38552,2,0,13646,,,4373371,620.87,,0.34,ETF
QQQ251229C00621000,2025-12-29,2025-12-29 21:14:56+00,327592,1472,19215822.00,160471,148884,0,2.47,0.01,1.14,0.01,0.002617679219360427,0.01,0.02,42074,0.5865778773596424821118952831,18235,14456,2,31319,32898,8,2,13514,,,4373371,620.87,,3.48,ETF
QQQ251229C00620000,2025-12-29,2025-12-29 21:14:52+00,315217,2810,26140479.00,148600,139007,0,3.27,0.22,1.64,0.71,0.01768181386687281,0.72,0.96,39050,0.8292851908367886249789827342,27610,12639,0,49579,51673,19,0,8824,,,4373371,620.87,,4.35,ETF
