option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
VALE260116C00012000,2025-12-11,2025-12-11 20:59:50+00,797348,68348,110114202.00,481081,290601,795690,1.44,1.05,1.05,1.28,0.2113687700568363,1.25,1.31,142,1.3810055584261827959686360275,25666,30,0,495,657,7,0,149963,2026-02-18,unknown,4376711,13.29,Basic Materials,0.98,ADR
VALE251219C00011000,2025-12-11,2025-12-11 20:53:32+00,648524,54627,165288154.00,302920,367202,691660,2.47,2.20,2.20,2.31,0.920187969848502,2.31,2.38,44,2.3894319547404914430370998925,21602,0,0,101,145,0,0,144510,2026-02-18,unknown,4376711,13.29,Basic Materials,2.00,ADR
VALE260116C00011000,2025-12-11,2025-12-11 20:38:48+00,638656,49742,151373950.00000000,143786,457549,638520,2.45,2.03,2.03,2.32,0.2527063736249104,2.33,2.35,84,2.3701953790459965928449744463,37321,1,0,203,183,0,0,152131,2026-02-18,unknown,4376711,13.29,Basic Materials,1.94,ADR
VALE251219C00012000,2025-12-11,2025-12-11 20:59:48+00,616071,54026,90404466.00,44640,591689,656360,1.49,1.02,1.02,1.30,0.4091616056672217,1.15,1.30,134,1.3762210549413079293459555295,20542,0,0,390,372,0,0,139733,2026-02-18,unknown,4376711,13.29,Basic Materials,1.00,ADR
VALE260116C00010000,2025-12-11,2025-12-11 20:53:32+00,517297,39426,172735482.00,124680,189817,517170,3.45,2.86,3.05,3.33,0.4204029361290362,2.85,3.35,51,3.3391935773839786428299410202,202800,0,0,197,208,0,0,121978,2026-02-18,unknown,4376711,13.29,Basic Materials,3.00,ADR
SPY251211C00688000,2025-12-11,2025-12-11 21:14:36+00,474955,5469,32142652.00,227763,232865,0,1.90,0.19,0.58,1.71,0.02174890341394438,1.56,1.86,53939,0.6767515238285732332536766639,14327,30718,0,30995,31320,3,0,14144,,,9278330,689.17,,1.72,ETF
SPY251211C00686000,2025-12-11,2025-12-11 21:14:40+00,445576,7855,54950619.00,214279,213068,0,3.79,0.48,1.30,3.65,0.03352858525711128,3.40,3.90,60305,1.2332490753541483383306102604,18229,45459,0,100535,130325,1,0,18444,,,9278330,689.17,,2.90,ETF
SPY251211C00689000,2025-12-11,2025-12-11 21:14:54+00,434288,8982,19494084.00,203155,221057,0,1.13,0.10,0.36,1.01,0.0234208050076302,0.91,1.07,41395,0.4488745717127804590502155206,10076,22337,0,10414,10371,2099,0,23419,,,9278330,689.17,,1.26,ETF
SPY251211C00687000,2025-12-11,2025-12-11 21:14:36+00,411506,4339,37238461.00,195419,198776,0,2.82,0.31,1.82,2.66,0.02617848763285175,2.45,2.87,54025,0.9049295583571476228863892055,17311,33670,0,73962,84210,13,1,13647,,,9278330,689.17,,2.25,ETF
SPY251211P00685000,2025-12-11,2025-12-11 21:14:56+00,385579,9312,40320260.00,173796,199092,150,3.55,0.01,1.75,0.01,0.0300724482192089,0.01,0.02,50496,1.0457068460678615795984739992,12691,22542,0,46695,45742,0,0,11697,,,9278330,689.17,,1.17,ETF
SPY251211C00685000,2025-12-11,2025-12-11 21:14:36+00,322228,9778,51512927.00,155288,150569,0,4.78,0.72,1.81,4.67,0.04220143940333419,4.45,4.98,44557,1.5986483794083692292414067012,16371,28445,0,129655,137827,1,0,16830,,,9278330,689.17,,3.61,ETF
SPY251211P00684000,2025-12-11,2025-12-11 21:14:52+00,302534,7453,27075254.00,138393,153901,0,2.88,0.01,1.30,0.01,0.03539500124673257,0.00,0.01,41048,0.8949491296845974336768759981,10240,19907,0,29565,28361,0,0,15698,,,9278330,689.17,,0.92,ETF
SPY251211P00686000,2025-12-11,2025-12-11 21:14:54+00,298582,4700,28894825.00,133006,153804,0,4.25,0.01,2.22,0.02,0.02683196726743806,0.02,0.03,36130,0.9677349940719802265374335985,11772,13419,0,74543,74085,0,0,11828,,,9278330,689.17,,1.48,ETF
