option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251217C00675000,2025-12-17,2025-12-17 21:14:52+00,470704,4688,41270167.00,208215,240872,0,5.61,0.01,4.96,0.01,0.01456743465146338,0.00,0.01,50984,0.8767662666232114338767455945,21618,32434,0,101828,105783,1,0,10930,,,11324435,671.4,,4.27,ETF
SPY251217C00674000,2025-12-17,2025-12-17 21:14:58+00,452660,1943,42738178.00,212793,214957,0,6.52,0.01,5.97,0.02,0.00932370646118467,0.02,0.03,44717,0.9441562762338178765519374387,24910,30731,0,133802,138866,7,0,10612,,,11324435,671.4,,5.47,ETF
SPY251217P00673000,2025-12-17,2025-12-17 21:14:50+00,385749,4328,35785378.00,180960,180937,5,1.78,0.15,0.24,0.16,0.00672446632888528,0.16,0.18,49073,0.9276855675581790231471760125,23852,31489,0,88012,91769,0,0,17424,,,11324435,671.4,,0.41,ETF
SPY251217P00672000,2025-12-17,2025-12-17 21:14:26+00,363532,4103,20620088.00,169995,176825,500,1.15,0.01,0.17,0.01,0.00868103982119797,0.01,0.02,43635,0.5672152107654896955426207261,16712,24357,0,41668,40806,0,0,18068,,,11324435,671.4,,0.29,ETF
SPY251217C00673000,2025-12-17,2025-12-17 21:14:58+00,349601,448,31303812.00,160166,164934,0,7.38,0.02,6.83,0.21,0.00655382996512084,0.19,0.22,34932,0.8954154021298566079616477113,24501,27650,0,182577,192221,2,0,5551,,,11324435,671.4,,6.12,ETF
SPY251217P00674000,2025-12-17,2025-12-17 21:14:52+00,347987,7850,40467655.00,157852,168307,300,2.74,0.26,0.32,1.06,0.01558582344024199,0.93,1.06,48932,1.1629070913568610321649946719,21778,28135,50,132597,120754,0,50,18466,,,11324435,671.4,,0.55,ETF
SPY251217C00680000,2025-12-17,2025-12-17 21:14:56+00,335619,16187,23154773.00,150232,180550,0,1.97,0.01,1.61,0.01,0.04324465784279626,0.00,0.01,41568,0.6899124602599971992050509683,4837,24571,0,16921,17225,0,0,14640,,,11324435,671.4,,1.29,ETF
SPY251217C00676000,2025-12-17,2025-12-17 21:14:46+00,323310,7267,25634797.00,142337,169776,0,4.91,0.01,4.30,0.01,0.02077390030248754,0.00,0.01,37489,0.7928859917726021465466579945,11197,22475,0,78898,85299,0,0,10027,,,11324435,671.4,,3.65,ETF
SPY251217C00677000,2025-12-17,2025-12-17 21:13:02+00,303342,9139,22416746.00,132927,162740,0,4.05,0.01,3.53,0.01,0.02902330781483411,0.00,0.01,31260,0.7389924903244522683967271215,7675,17486,0,59627,63811,48,0,10411,,,11324435,671.4,,2.93,ETF
SPY251217P00675000,2025-12-17,2025-12-17 21:14:22+00,279233,9750,35756455.00,130973,132819,800,3.81,0.35,0.43,2.06,0.01868902128638785,1.87,2.13,43364,1.2805217887555076710183591683,15442,33936,0,168930,145787,2,0,15361,,,11324435,671.4,,0.74,ETF
SPY251217C00679000,2025-12-17,2025-12-17 21:14:56+00,273870,8241,22166839.00,114391,152960,0,2.61,0.01,2.05,0.01,0.03778367574621248,0.00,0.01,34166,0.8093927410815350348705590244,6519,19153,0,28889,29117,0,0,10231,,,11324435,671.4,,1.76,ETF
SPY251217C00678000,2025-12-17,2025-12-17 21:14:40+00,268678,8373,21364245.00,116711,144610,0,3.32,0.01,2.86,0.01,0.03255012706444244,0.00,0.01,31579,0.7951616805246428810695330489,7357,18896,0,45391,45876,0,0,11420,,,11324435,671.4,,2.31,ETF
QQQ251217C00605000,2025-12-17,2025-12-17 21:14:16+00,266362,849,27210403.00,118849,126242,0,8.75,0.01,7.88,0.01,0.01868257222532352,0.00,0.01,29041,1.0215572416485835066563548875,21271,19870,0,110265,112358,5,0,13807,,,7061880,600.41,,6.75,ETF
SPY251217P00670000,2025-12-17,2025-12-17 21:14:42+00,249385,9182,5975446.00,120689,124190,0,0.60,0.01,0.10,0.01,0.02166696847436607,0.00,0.01,25168,0.2395843115068862297598814665,4516,15415,0,5419,5534,4,10,20366,,,11324435,671.4,,0.17,ETF
