date,call_volume,put_volume,call_premium,put_premium,put_call_ratio,bearish_premium,bullish_premium,ticker,avg_3_day_call_volume,avg_3_day_put_volume,avg_7_day_call_volume,avg_7_day_put_volume,avg_30_day_call_volume,avg_30_day_put_volume,total_open_interest,call_open_interest,put_open_interest,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,avg_30_day_put_oi,avg_30_day_call_oi,net_call_premium,net_put_premium,next_earnings_date,er_time,sector,full_name,marketcap,issue_type,is_index,next_dividend_date,close,high,low,total_volume,avg30_volume,prev_close,week_52_high,week_52_low,implied_move,implied_move_perc,volatility,iv30d,iv30d_1d,iv30d_1w,iv30d_1m,iv_rank,prev_call_oi,prev_put_oi
2025-12-08,5240446,4075295,760186996.0000,560864378.00,0.7776618631314969,606179995.0000,590223728.0000,SPY,4792068.6667,4795459,4643433.4286,4683932.4286,4715074.6,5311492.5333,16226593,5286985,10939608,2320108,2712245,1886167,1931930,12717362.7667,5337498.9667,-37893612.0000,-10063394.00,,,,SPDR S&P 500 ETF,685.828782,ETF,f,2025-06-20,683.63,686.64,681.57,49014596,82287203.45,685.69,689.7,481.80,7.61015976261737,0.01113247478440223,0.156259893598286,0.1376090620243125,0.1248,0.1423,0.1666,10.828,5447458,11831274
2025-12-08,2850379,2245437,579348268.0000,469451659.00,0.7877678722724242,442917004.0000,439565210.0000,QQQ,2624140,2520938.3333,2476209.5714,2465235,2610869.6667,2946629.2667,10097733,3995433,6102300,1273795,1386536,1017945,1062793,6331646.7333,3894956.2333,3406717.0000,-3412944.00,,,,INVESCO QQQ ,385698577500,ETF,f,,624.28,628.84,621.69,39629406,60533368.35,625.48,637.01,402.39,9.49609652150748,0.01521981075041668,0.2140658976711761,0.1847918846687242,0.1713,0.1954,0.2268,12.6734,4071079,6167960
2025-12-08,1662361,1707813,1340988865.0000,1392374263.0000,1.027341834896271,1079943468.0000,1086153680.0000,SPXW,1621352.3333,1778269,1593797,1728205.2857,1779220.9,1990282.9333,4611500,1430478,3181022,615319,758009,616155,728240,3426647,1495953.0333,-2661606.0000,579298.0000,,,,S&P 500 Index (Weekly),,,t,,,,,,,,6147.4302,5773.3101,76.4121943778142,0.01116321320347907,0.157494093497884,0.1337044134690009,0.1225,0.1425,0.1635,10.2492,1493769,3415904
2025-12-08,1840136,652034,815091898.00,255533624.00,0.35434011399157456,442995422.00,489410498.00,NVDA,1490353,802063.3333,1508257.1429,870872,2153840.5667,1138191.3667,19925056,10503064,9421992,865634,794689,268215,305532,9460825.9667,10661681.2,42784202.00,1962978.00,2026-02-25,unknown,Technology,NVIDIA CORP,4508865000000,Common Stock,f,2025-12-04,185.55,188,182.4,170669260,208785084.85,182.41,212.1899,86.62,5.86525205987245,0.03162628163097489,0.4450874503117005,0.387356438289577,0.3752,0.3938,0.5013,18.8643,11022198,9822699
2025-12-08,992245,679412,1241642443.0000,707306723.0000,0.6847220192593563,984903879.0000,805380928.0000,TSLA,1596408.3333,1002666,1289428.1429,854070.4286,1394469.1,949644.1,7594305,4103880,3490425,411666,486914,310177,292482,3691947.7,4324175,-97907714.0000,53587443.0000,2026-02-04,unknown,Consumer Cyclical,TESLA INC,1461963589430,Common Stock,f,,439.58,449.7463,435.25,61481758,78436229.9,455,488.5399,214.25,15.00199919029484,0.03413035875394117,0.480429132324649,0.464195067077596,0.4405,0.4629,0.6096,6.2202,4364260,3813165
2025-12-08,650173,878666,92469124.00,130098646.00,1.3514341567552022,86729696.00,85347176.00,IWM,736906,1213787,655424.4286,991419.8571,681700.9333,1188142.7333,11704594,3397095,8307499,290978,317289,394165,399855,8223515.8667,3385845.2,-424417.00,1565603.00,,,,ISHARES RUSSELL 2000 ETF,71937084226,ETF,f,,250.87,252.77,250.18,28246312,46603834.95,250.77,252.77,171.73,4.60275257814302,0.01835155128640411,0.257972232806031,0.2050291939877605,0.1915,0.2077,0.2388,9.0211,3444705,8372572
2025-12-08,598807,353246,142112539.00,173760695.00,0.5899162835437796,137761874.00,137078478.00,NFLX,504678.3333,303616,305809.1429,181623.2857,184053.5667,118215.6333,6481600,3004912,3476688,251125,284512,150176,150001,1757665.4,1553140.1333,-11019631.00,-6619360.00,2026-01-20,unknown,Communication Services,NETFLIX INC,471262389905,Common Stock,f,,96.79,99.89,95.3,92413968,42945433.15,100.24,134.12,82.11,2.932613376374675,0.03029872276448677,0.4258330274314335,0.363585175282241,0.3245,0.2908,0.3097,26.5632,3046931,3491848
2025-12-08,147643,565872,2200273.00,7386693.00,3.832704564388423,2126555.00,4623639.00,HYG,31213,608586.6667,48225.1429,392077.5714,84921.4333,426655.7333,9741311,1701279,8040032,120940,11491,149930,120462,7870033.3333,1776109.9333,1687875.00,-809209.00,,,,ISHARES IBOXX $ HIGH YIELD CORPORATE BOND ETF,19017309845,ETF,f,,80.55,80.74,80.49,40133724,41682568.7,80.75,81.36,75.08,0.3060373472690828,0.003799110511688695,0.0531929096183013,0.0438480879376679,0.0439,0.0482,0.0519,4.8911,1689288,8028332
2025-12-08,414717,291720,38337284.00,28115633.00,0.7034194402447934,28350349.00,25097558.00,VIX,408180.6667,316818.6667,405196.2857,258655.4286,532349.2667,335256.3,12660579,8591679,4068900,183232,160050,100937,120387,4347609.4667,9059812.5667,-787630.00,472753.00,,,,CBOE Volatility Index,,,t,,16.66,17.09,16.1,0,0,15.41,60.13,0.0,1.699017147844718,0.0999421851673364,0.90919521750833,0.696746459494787,0.656,0.726,0.8926,10.4383,8371523,4020628
2025-12-08,266210,340736,10560181279.0000,3265828878.0000,1.279951917658991,5124145225.0000,8290807247.0000,SPX,203524,314243.3333,192148.8571,274371.1429,213308.2667,315673.1,17793056,7209738,10583318,136624,111885,133423,136878,10221281.1667,6771143.1667,83701887.0000,73587556.0000,,,,S&P 500 Index,,,t,,6846.51,6878.27,6827.19,0,0,6870.4,6920.34,4835.04,113.5607711259754,0.01659032448882037,0.1427082186269291,0.1403871490575399,0.1328,0.1475,0.166,11.9674,7154485,10474663
2025-12-08,310039,271475,117117726.00,23360243.00,0.8756156483539168,52134589.00,66978781.00,SLV,684523,303429.3333,704111.7143,294654.8571,453061.8667,214006.4667,7931917,4853030,3078887,146415,129244,129776,94100,2909954.2,4732407.5667,1359549.00,-3537643.00,,,,ISHARES SILVER TRUST,29748200108,ETF,f,,52.71,52.965,52.26,19315042,33107527.8,52.95,53.82,26.19,1.70000754383806,0.03227045451476955,0.453021855927517,0.3872864330191425,0.387,0.4946,0.2932,55.736,4957825,3136736
