option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251124C00670000,2025-11-24,2025-11-24 21:14:40+00,586028,10599,19358900.00,292714,283502,0,0.69,0.01,0.18,0.01,0.00610476705506885,0.00,0.01,64410,0.3303408710846580709454155849,9017,28742,0,7948,6991,4,795,23120,,,10218754,668.73,,0.24,ETF
SPY251124C00669000,2025-11-24,2025-11-24 21:14:52+00,550839,5117,34977489.00,260397,269713,0,1.28,0.07,0.28,0.25,0.00511442927069805,0.24,0.31,66489,0.6349857036266495291727709886,20375,38036,0,38429,37541,7,354,18837,,,10218754,668.73,,0.34,ETF
SPY251124P00668000,2025-11-24,2025-11-24 21:14:44+00,524261,1372,32702060.00,238632,266436,0,6.65,0.01,5.02,0.01,0.01048549811438708,0.00,0.01,50972,0.6237744177041588063960508186,18448,26283,0,113798,141218,1,745,11681,,,10218754,668.73,,8.96,ETF
SPY251124P00667000,2025-11-24,2025-11-24 21:13:36+00,389329,1006,26408596.00,178333,198175,0,5.82,0.01,4.83,0.01,0.01900470448940106,0.00,0.01,43507,0.6783105291411633862363194075,12482,18012,0,99266,109955,4,339,13596,,,10218754,668.73,,8.48,ETF
SPY251124C00668000,2025-11-24,2025-11-24 21:14:58+00,388533,4609,40257950.00,184136,182717,0,2.05,0.29,0.49,1.23,0.02189084758668901,1.13,1.44,56293,1.0361526562737270708022227281,21602,25809,10,77718,83143,6,78,15591,,,10218754,668.73,,0.48,ETF
SPY251124P00669000,2025-11-24,2025-11-24 21:14:58+00,369364,1761,27094685.00,166651,182410,0,7.54,0.01,6.62,0.02,0.003790169529021779,0.01,0.02,39099,0.7335496962346086787017684461,18772,21080,0,148602,194950,31,1531,10507,,,10218754,668.73,,10.13,ETF
SPY251124P00665000,2025-11-24,2025-11-24 21:14:58+00,335213,3716,28660228.00,148116,175090,0,4.35,0.01,3.47,0.01,0.02875330564721427,0.00,0.01,34963,0.8549855763350466718176204446,11603,18596,0,74867,74090,5,404,10263,,,10218754,668.73,,6.43,ETF
QQQ251124C00605000,2025-11-24,2025-11-24 21:14:48+00,284630,4748,20163961.00,136816,128938,0,1.60,0.11,0.11,0.90,0.01612544819775858,0.82,0.99,35642,0.7084271159048589396760706929,18473,15833,0,52944,57242,9,403,20666,,,5676568,605.16,,0.17,ETF
QQQ251124P00605000,2025-11-24,2025-11-24 21:14:50+00,272603,1922,18537611.00,131001,121390,0,9.35,0.01,9.26,0.01,0.00850495762965843,0.00,0.01,25974,0.6800222668129110831502221135,19525,17466,0,93906,91393,5,687,6144,,,5676568,605.16,,14.22,ETF
SPY251124P00666000,2025-11-24,2025-11-24 21:14:42+00,244659,1014,17329354.00,106029,131640,0,5.04,0.01,4.40,0.01,0.02349497011727241,0.00,0.01,30226,0.7083064183210100588983033520,6984,11018,0,87966,93003,4,6,8060,,,10218754,668.73,,7.31,ETF
QQQ251124C00606000,2025-11-24,2025-11-24 21:14:56+00,227179,1601,7981216.00,112453,103528,225,0.77,0.01,0.06,0.14,0.00652043549660634,0.13,0.15,25006,0.3513183877030887538020679743,10446,11094,0,19245,19340,4,752,27459,,,5676568,605.16,,0.13,ETF
SPY251124C00667000,2025-11-24,2025-11-24 21:14:28+00,225075,5096,31567519.00,105971,102045,0,3.02,0.45,0.65,2.38,0.01427926825244134,2.18,2.55,38541,1.4025333333333333333333333239,17033,18299,0,141800,126034,5,26,10083,,,10218754,668.73,,0.65,ETF
QQQ251124P00604000,2025-11-24,2025-11-24 21:13:36+00,215809,1132,13375953.00,99943,104841,0,8.41,0.01,8.41,0.01,0.01795710493277648,0.00,0.01,23013,0.6198051517777293810730785074,10819,12251,1,89793,88337,3,206,5842,,,5676568,605.16,,13.55,ETF
SPY251124C00666000,2025-11-24,2025-11-24 21:14:54+00,205328,4940,35329105.00,95163,94944,200,3.98,0.66,0.95,3.42,0.04137546872277752,3.21,3.38,37073,1.7206179868308267747214213372,15146,21815,0,149864,149244,13,75,8987,,,10218754,668.73,,0.87,ETF
SPY251124C00671000,2025-11-24,2025-11-24 21:14:54+00,196414,4800,2830869.00,97858,97194,0,0.33,0.01,0.09,0.01,0.01349718331128577,0.00,0.01,20189,0.1441276589245165823210158121,1342,4582,0,1549,1596,0,20,15119,,,10218754,668.73,,0.15,ETF
SPY251124P00663000,2025-11-24,2025-11-24 21:11:40+00,196197,3104,20148732.00,75110,111969,0,3.14,0.01,2.60,0.01,0.0455828999070149,0.00,0.01,25190,1.0269643266716616462025413233,9092,12502,0,47519,48198,1,26,4497,,,10218754,668.73,,5.40,ETF
