option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251202C00683000,2025-12-02,2025-12-02 21:14:18+00,905819,10336,59820376.00,435842,454637,0,1.52,0.01,0.86,0.01,0.01104761231184467,0.00,0.01,110671,0.6604009851857821485307771106,15340,60409,0,22391,21693,0,0,26139,,,10343355,681.53,,0.65,ETF
SPY251202C00682000,2025-12-02,2025-12-02 21:14:58+00,787854,11355,69388262.00,372850,379656,0,2.27,0.01,1.33,0.01,0.004003176646246313,0.00,0.01,95327,0.8807248804981633652935696219,35348,48953,0,60296,60605,8,0,23422,,,10343355,681.53,,0.96,ETF
SPY251202C00684000,2025-12-02,2025-12-02 21:14:54+00,638757,9075,26378290.00,304276,327161,0,0.89,0.01,0.57,0.01,0.01718501881307213,0.00,0.01,73026,0.4129628325012485186072324816,7320,36170,0,7139,7034,15,0,16388,,,10343355,681.53,,0.42,ETF
SPY251202P00681000,2025-12-02,2025-12-02 21:14:50+00,628931,8263,48401818.00,291081,308968,0,2.37,0.01,1.07,0.01,0.00579723913298334,0.00,0.01,76401,0.7695886830192819244082419194,28882,40705,0,64227,60564,0,0,19508,,,10343355,681.53,,2.28,ETF
SPY251202P00680000,2025-12-02,2025-12-02 21:14:18+00,595769,11161,35864301.00,278185,301059,0,1.80,0.01,0.76,0.01,0.01276176501145082,0.00,0.01,71660,0.6019833358231126493657776740,16525,40971,0,33563,32360,0,0,15893,,,10343355,681.53,,1.79,ETF
SPY251202P00682000,2025-12-02,2025-12-02 21:14:40+00,561233,5235,53934143.00,262494,271505,0,3.07,0.11,1.35,0.36,0.2098632234407345,0.36,0.58,70784,0.9609937940213779303782920796,27234,36955,0,125483,126843,1,0,9924,,,10343355,681.53,,2.86,ETF
SPY251202C00685000,2025-12-02,2025-12-02 21:12:36+00,527181,13775,12226822.00,255245,268257,0,0.51,0.01,0.29,0.01,0.02519477576052676,0.00,0.01,50875,0.2319283509838177020795514307,3679,29029,0,1891,1901,0,0,12570,,,10343355,681.53,,0.26,ETF
SPY251202C00681000,2025-12-02,2025-12-02 21:14:16+00,441481,12100,54313736.00,200339,213647,0,3.12,0.44,1.93,0.60,0.00860746690881623,0.53,0.67,55441,1.2302621403865625021235342004,27495,25572,0,138916,120393,10,0,15339,,,10343355,681.53,,1.38,ETF
QQQ251202C00622000,2025-12-02,2025-12-02 21:14:58+00,407856,4197,42269314.00,197355,186643,500,2.40,0.12,0.71,0.14,0.00597054866763085,0.14,0.15,53671,1.0363783786434427837275901311,23858,30127,0,90851,89299,22,0,18268,,,5759310,622,,0.47,ETF
QQQ251202C00623000,2025-12-02,2025-12-02 21:14:52+00,400692,2619,28316215.00,189128,192234,0,1.69,0.01,0.45,0.01,0.00964178864234654,0.00,0.01,53290,0.7066828137322432192307308228,19330,21332,0,40379,40306,10,0,16701,,,5759310,622,,0.31,ETF
QQQ251202P00620000,2025-12-02,2025-12-02 21:14:52+00,329631,1245,28248412.00,151988,157329,0,3.16,0.01,1.98,0.02,0.01793123091535194,0.01,0.02,38520,0.8569707339418926011206470227,20314,17745,0,71369,73807,2,0,11478,,,5759310,622,,3.99,ETF
QQQ251202P00622000,2025-12-02,2025-12-02 21:14:58+00,311685,109,33717787.00,144530,147004,510,4.71,0.09,3.39,0.17,0.00627737623113789,0.16,0.19,35141,1.0817904936073279111923897516,20151,18444,0,121284,125391,0,0,6059,,,5759310,622,,5.60,ETF
QQQ251202P00621000,2025-12-02,2025-12-02 21:14:56+00,284607,351,26683309.00,124936,140101,0,3.88,0.01,2.57,0.02,0.01041884304027538,0.01,0.02,36979,0.9375492872627869307501220845,19570,19493,0,103856,106004,4,0,8148,,,5759310,622,,4.70,ETF
SPY251202P00679000,2025-12-02,2025-12-02 21:14:52+00,282893,5585,13146064.00,132434,142009,0,1.34,0.01,0.56,0.01,0.01871194421495479,0.01,0.02,36649,0.4647009293266358658574089884,8450,18633,0,18033,17071,0,0,14979,,,10343355,681.53,,1.40,ETF
QQQ251202C00621000,2025-12-02,2025-12-02 21:14:50+00,268649,3016,37414951.00,124763,124190,0,3.20,0.48,1.09,1.00,0.01380672697479636,0.98,1.05,37675,1.3927076222133713507215734951,19696,16981,0,124476,129724,10,0,8883,,,5759310,622,,0.70,ETF
SPY251202P00683000,2025-12-02,2025-12-02 21:14:38+00,266295,2618,34836329.00,124313,122799,0,3.87,0.44,1.97,1.21,0.0250534880052201,1.22,1.58,37134,1.3081856212095608254004018163,19183,15086,0,201782,219427,0,0,5000,,,10343355,681.53,,3.55,ETF
SPY251202P00678000,2025-12-02,2025-12-02 21:14:56+00,263226,6752,8603605.00,128498,130948,0,0.98,0.01,0.28,0.01,0.02446988391514091,0.01,0.02,29819,0.3268524005987250499570711012,3780,16638,0,8883,8946,0,0,11207,,,10343355,681.53,,1.11,ETF
QQQ251202C00624000,2025-12-02,2025-12-02 21:14:44+00,257243,2265,12831352.00,119925,129478,0,1.09,0.01,0.29,0.01,0.01673417153046075,0.01,0.02,36413,0.4988027662560302904257841840,7840,13768,0,15615,15453,6,0,13156,,,5759310,622,,0.20,ETF
NVDA251205C00185000,2025-12-02,2025-12-02 20:59:58+00,238771,77486,55701316.00,97232,101975,1000,3.55,1.21,1.60,1.29,0.4058360287888335,1.28,1.29,37778,2.3328342219113711464122527451,39564,10102,0,30746,31454,75,0,45546,2026-02-25,unknown,2577806,181.46,Technology,1.28,Common Stock
QQQ251202C00625000,2025-12-02,2025-12-02 21:14:22+00,194532,6422,6217728.00,96392,94065,0,0.66,0.01,0.16,0.01,0.02364889611912708,0.00,0.01,23457,0.3196249460243044846092159627,4075,9880,0,5438,5361,8,0,10419,,,5759310,622,,0.13,ETF
SPXW251202C06840000,2025-12-02,2025-12-02 21:00:00+00,190140,1316,96983783.00,78833,82132,2488,17.70,0.02,9.80,0.03,4.136168076999002,0.00,0.05,74364,5.1006512569685494898495844744,29175,945,0,109875,107355,0,0,36996,,,3753191,,,7.22,
QQQ251202C00620000,2025-12-02,2025-12-02 21:14:08+00,186268,8315,33476196.00,90746,80568,10,4.06,0.75,1.48,2.01,0.02067693557158476,1.88,2.10,24871,1.7972059613030686967165589409,14954,12658,0,132527,138550,16,0,7174,,,5759310,622,,0.98,ETF
