option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251201C00682000,2025-12-01,2025-12-01 21:12:12+00,760163,4772,53794758.00,352420,386660,0,1.38,0.01,0.57,0.01,0.01648929049529779,0.00,0.01,94176,0.7076739857109593600319931307,21083,44741,0,29281,29216,10,0,17669,,,9564435,680.27,,2.36,ETF
SPY251201C00683000,2025-12-01,2025-12-01 21:12:32+00,681186,6358,26866178.00,319296,355196,0,0.89,0.01,0.35,0.01,0.02291230749118478,0.00,0.01,79993,0.3944029677650450831344155652,6694,31262,0,8168,8401,22,0,19431,,,9564435,680.27,,1.75,ETF
SPY251201P00680000,2025-12-01,2025-12-01 21:14:58+00,603102,12613,41962853.00,288930,293475,0,2.40,0.02,2.38,0.07,0.003179947986052728,0.07,0.08,73893,0.6957836816989497630583218091,20697,35705,0,47109,46672,9,0,19455,,,9564435,680.27,,0.72,ETF
SPY251201C00681000,2025-12-01,2025-12-01 21:14:18+00,585482,5448,57703037.00,275810,287134,0,2.09,0.01,0.86,0.01,0.00808885225254628,0.00,0.01,81100,0.9855646629614573974947137539,22538,38230,0,86939,72059,9,0,13650,,,9564435,680.27,,3.00,ETF
SPY251201P00681000,2025-12-01,2025-12-01 21:14:56+00,473353,10303,41057003.00,224188,225928,40,3.01,0.10,2.80,1.01,0.01182597606925784,0.80,1.10,57388,0.8673654334080485388283162831,23237,25730,0,93615,91626,0,0,17452,,,9564435,680.27,,0.94,ETF
SPY251201C00680000,2025-12-01,2025-12-01 21:14:58+00,362026,4594,51180739.00,163759,171008,168,3.04,0.04,1.23,0.08,0.002126186630393716,0.07,0.08,52669,1.4137310303679846198891792376,27259,26291,0,167821,132344,261,0,8468,,,9564435,680.27,,3.87,ETF
SPY251201P00682000,2025-12-01,2025-12-01 21:14:04+00,355483,10062,33290421.00,169299,168529,25,3.73,0.22,3.65,1.80,0.01887631443004704,1.71,2.07,44286,0.9364841919304158004742842961,17655,14259,0,154667,144887,17,0,8433,,,9564435,680.27,,1.25,ETF
SPY251201P00679000,2025-12-01,2025-12-01 21:14:58+00,353655,4295,24621916.00,169189,173659,0,1.88,0.01,1.87,0.01,0.00843476711277487,0.00,0.01,49912,0.6962128628182833552473455748,10807,24551,0,24300,24226,10,0,11723,,,9564435,680.27,,0.55,ETF
QQQ251201C00618000,2025-12-01,2025-12-01 21:14:32+00,315941,8100,23474497.00,147922,152470,0,1.84,0.01,0.58,0.01,0.01027628796961392,0.00,0.01,43699,0.7430025542743740128694914546,15549,17409,0,51141,52242,15,0,8926,,,5141632,617.17,,2.78,ETF
SPY251201C00684000,2025-12-01,2025-12-01 21:12:52+00,302159,6499,6125590.00,145010,152345,0,0.53,0.01,0.25,0.01,0.02872532049690219,0.00,0.01,34503,0.2027273720127482550577675933,4804,15439,0,2044,2199,0,0,12290,,,9564435,680.27,,1.25,ETF
