date,call_volume,put_volume,call_premium,put_premium,put_call_ratio,bearish_premium,bullish_premium,ticker,avg_3_day_call_volume,avg_3_day_put_volume,avg_7_day_call_volume,avg_7_day_put_volume,avg_30_day_call_volume,avg_30_day_put_volume,total_open_interest,call_open_interest,put_open_interest,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,avg_30_day_put_oi,avg_30_day_call_oi,net_call_premium,net_put_premium,next_earnings_date,er_time,sector,full_name,marketcap,issue_type,is_index,next_dividend_date,close,high,low,total_volume,avg30_volume,prev_close,week_52_high,week_52_low,implied_move,implied_move_perc,volatility,iv30d,iv30d_1d,iv30d_1w,iv30d_1m,iv_rank,prev_call_oi,prev_put_oi
2025-12-22,3955568,4620562,635453200.0000,563258355.00,1.1681159317701022,548542505.0000,530756168.0000,SPY,6761099.6667,5893113,5929194,5564423,5158521.4333,5363042.2,13964133,5057627,8906506,1801891,1970401,2061484,2328272,12011107.4667,5569792.1,-22008318.0000,-42387605.00,,,,SPDR S&P 500 ETF,680.547521,ETF,f,2025-06-20,684.83,685.36,680.5868,55834433,80441876.25,680.59,689.7,481.80,3.425517395901915,0.00500141244236749,0.0703362653039417,0.1151127834845769,0.1243,0.1329,0.2213,1.1114,5919643,11635265
2025-12-22,2433966,2334728,533846200.0000,515453597.00,0.9592278610301048,456915307.0000,439816953.0000,QQQ,3086198,3297678,3215328.8571,3158056.7143,2860317.5667,2958790.3,8384961,3270409,5114552,1095180,1157969,1055559,1124913,6384664,4059770.7333,-23502742.0000,12752332.00,,,,INVESCO QQQ ,385698577500,ETF,f,,619.21,621.65,617.77,41660711,52713357.7,617.05,637.01,402.39,4.62825164883263,0.0074728770123561,0.1050285201286155,0.1558853834132631,0.1643,0.1839,0.2916,2.4264,4340824,6768342
2025-12-22,1526164,1743777,1687407025.0000,1433873133.0000,1.1425882146348623,1375615292.0000,1220042487.0000,SPXW,1809159.3333,2048014,1804241.8571,2099914.1429,1776797.6667,2007550.0667,4689868,1553288,3136580,558527,677574,619902,761781,3368525.3333,1499608.9,50985725.0000,21186343.0000,,,,S&P 500 Index (Weekly),,,t,,,,,,,,6147.4302,5773.3101,33.64587566072166,0.00489038890417466,0.06892193902976,0.108584352215557,0.12,0.1301,0.217,1.1549,1626146,3533700
2025-12-22,1444288,882080,2085797889.0000,790158398.0000,0.6107369167368281,1354557671.0000,1280220994.0000,TSLA,1978465,1281837,1922157.1429,1170551.8571,1468922.9333,991186.2,7107896,3966201,3141695,637477,665991,383740,400497,3697722.7333,4351297.6667,-49537931.0000,-8487486.0000,2026-02-04,unknown,Consumer Cyclical,TESLA INC,1625427601488,Common Stock,f,,488.73,498.83,485.33,80875213,78557573.6,481.2,498.83,214.25,12.56938046700067,0.0257231918528992,0.361972406207231,0.451338992017187,0.461,0.491,0.5866,4.2057,4708801,4004928
2025-12-22,698143,1042961,91777574.00,97687238.00,1.4939074086541009,88326477.00,67921734.00,IWM,603404.6667,856906.3333,1024892.2857,945091.5714,778516.9333,1153837.2667,8404937,2656589,5748348,331987,299401,538983,428618,8428257.9667,3443816.7333,910580.00,12492891.00,,,,ISHARES RUSSELL 2000 ETF,75863540005,ETF,f,,253.58,255.115,252.2,34998694,38396383.6,250.79,258.2,171.73,2.346028284016156,0.00925235953626817,0.1291457809712854,0.1697689576805845,0.175,0.1933,0.2761,0,3232665,8797347
2025-12-22,1095259,540903,999139048.00,182073850.00,0.4938585302654441,450613859.00,386583693.00,NVDA,1823983,1191778.3333,1690575,992505.4286,1873917.8,1051728.8667,16919406,9046664,7872742,438672,474976,222539,246178,9609871.1667,10841342.6,-52316829.00,-8209607.00,2026-02-25,unknown,Technology,NVIDIA CORP,4463667000000,Common Stock,f,2025-12-04,183.69,184.16,182.35,106417121,189559870.7,180.99,212.1899,86.62,3.474444856939352,0.01891371061339943,0.259751576630484,0.326460887113595,0.3356,0.3739,0.5195,5.7442,11149761,9881502
2025-12-22,1301809,273450,1049163086.00000000,70400295.00,0.21005385582677644,384842337.00000000,653794712.00000000,GLD,306982,157147,379841.7143,160957.4286,369875.9,167101.9667,4493271,3014701,1478570,729690,506631,104962,124840,1956865.9667,3509245.0333,-20405726.00,-1275706.00,,,,SPDR GOLD TRUST,398.90102,ETF,f,,408.23,408.52,405.72,13250547,9867006.65,399.02,408.52,239.58,5.14299343629892,0.01259889134587326,0.1771789270550457,0.2242564283675952,0.1929,0.2007,0.2171,52.061,3598529,1956994
2025-12-22,669674,334474,311277894.00,33268603.00,0.4994579452091615,167355934.00,128980564.00,SLV,741529.3333,373992.6667,712493.7143,377819.7143,588513.3333,285930.9667,8245674,5061382,3184292,277872,306598,165596,128861,3130083.7667,5047746.5,-30101321.00,-776882.00,,,,ISHARES SILVER TRUST,33972572507,ETF,f,,62.47,62.82,61.74,49204416,45570729.7,60.93,62.82,26.22,1.923176471389567,0.03078560063053572,0.432939796857331,0.496408862641686,0.4693,0.4688,0.369,91.3271,5816346,3843559
2025-12-22,384270,255158,241925513.00,88668013.00,0.664007078356364,153953636.00,148547987.00,PLTR,572135.6667,313506.6667,454211.5714,273573.4286,399830.9667,297979.9333,3411734,1744132,1667602,159390,188486,98685,130041,1804905.0667,1919637.7333,-2040519.00,2239165.00,2026-02-02,unknown,Technology,PALANTIR TECHNOLOGIES INC,443115111648,Common Stock,f,,193.98,198.88,192.43,32481630,38410738.65,193.38,207.52,63.40,4.64748716127267,0.02395858934566793,0.3327610568618595,0.4177578280213585,0.4309,0.4647,0.6507,0,2013371,1907876
2025-12-22,410172,185832,41663338.00,25175647.00,0.453058716830988,22646764.00,27448675.00,VIX,491784.3333,191061.6667,589410.4286,333983.5714,591613.4667,372878.8667,9454006,7122349,2331657,140821,185844,37902,96498,4221350.6667,9047930.9,-1844602.00,-6868863.00,,,,CBOE Volatility Index,,,t,,14.08,15.26,14.03,0,0,14.91,60.13,0.0,2.570933671603519,0.1836381194002514,0.471289370788291,0.471289370788291,0.6176,0.7028,0.974,0,6731591,2302365
