option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251125C00674000,2025-11-25,2025-11-25 21:01:40+00,492926,6208,24339682.00,234852,240095,0,2.19,0.04,0.16,1.24,0.02971154360160237,1.19,1.30,52026,0.4937796342655895611105926601,17979,21258,0,30820,27561,4,0,24186,,,10564663,675,,0.37,ETF
SPY251125C00675000,2025-11-25,2025-11-25 21:01:36+00,489051,17968,11421611.00,242436,237746,0,1.36,0.02,0.10,0.29,0.0114431265159318,0.27,0.32,47271,0.2335464194940813943740018953,8869,14573,0,7994,9509,3,0,17791,,,10564663,675,,0.23,ETF
SPY251125C00673000,2025-11-25,2025-11-25 21:01:40+00,428822,9608,31277600.00,214271,193871,292,3.18,0.08,0.28,2.26,0.064603542651342,2.19,2.28,53627,0.7293842200260247841761849947,20680,25805,0,76873,62098,1,0,24780,,,10564663,675,,0.60,ETF
SPY251125C00672000,2025-11-25,2025-11-25 21:01:32+00,375566,5241,32766073.00,180041,177135,0,4.15,0.15,0.50,3.26,0.0892775583846447,3.19,3.29,49535,0.8724451361411842392548846413,18390,31894,0,111229,110265,10,0,12072,,,10564663,675,,0.90,ETF
SPY251125C00670000,2025-11-25,2025-11-25 21:01:16+00,371679,12667,53470178.00,173239,172179,0,6.13,0.44,1.16,5.11,0.1436888080057389,5.06,5.17,58014,1.4386117590716720611064924246,26261,33980,0,144799,134213,4,0,10333,,,10564663,675,,1.73,ETF
SPY251125P00673000,2025-11-25,2025-11-25 21:01:34+00,370982,907,20109522.00,171063,185603,0,8.55,0.01,4.70,0.01,0.0508699451955311,0.00,0.01,41690,0.5420619329239693570038438539,14316,16007,0,150432,180833,0,0,7272,,,10564663,675,,4.21,ETF
SPY251125C00671000,2025-11-25,2025-11-25 21:01:22+00,328114,4357,35810822.00,159601,150777,0,5.20,0.28,0.78,4.23,0.1432526541633015,4.11,4.22,51231,1.0914140207366951730191336032,17736,26853,0,137365,138036,2,0,13619,,,10564663,675,,1.28,ETF
SPY251125P00674000,2025-11-25,2025-11-25 21:01:30+00,322227,929,22624621.00,140769,163911,0,9.46,0.01,5.36,0.01,0.0310871316065282,0.00,0.01,29241,0.7021329994072501683595725945,17547,11952,0,175223,211318,0,0,4319,,,10564663,675,,4.90,ETF
SPY251125P00668000,2025-11-25,2025-11-25 21:01:08+00,256132,7442,31686019.00,105345,135292,0,4.46,0.01,1.60,0.01,0.1635147966716888,0.01,0.02,36008,1.2370972389236799775115955834,15495,22059,0,90965,84184,0,0,10382,,,10564663,675,,1.59,ETF
QQQ251125C00608000,2025-11-25,2025-11-25 21:01:30+00,254544,3075,13681096.00,128620,114383,0,2.24,0.06,0.57,1.24,0.03974402530059337,1.13,1.35,27871,0.5374746998554277453014017193,11541,11389,0,26444,26416,10,0,18860,,,6269127,608.9,,1.64,ETF
SPY251125P00667000,2025-11-25,2025-11-25 21:00:36+00,253877,8013,29995645.00,107236,134237,0,3.78,0.01,1.24,0.01,0.2468160425633229,0.00,0.01,37695,1.1588382190489137217267227901,16878,21159,0,66822,65239,0,0,20936,,,10564663,675,,1.31,ETF
SPY251125P00670000,2025-11-25,2025-11-25 21:00:18+00,252253,4956,23637981.00,117737,128223,0,5.90,0.01,2.65,0.01,0.2512202017437867,0.00,0.01,27585,0.9150929835733711755636069715,10767,10118,0,122599,120934,0,0,24365,,,10564663,675,,2.40,ETF
NVDA251128C00180000,2025-11-25,2025-11-25 20:59:58+00,250097,26636,26752662.00,114992,117811,950,2.27,0.52,1.20,1.81,0.4268100147556845,1.80,1.82,26406,1.0696914397213881014166503337,17294,9961,0,18606,18412,11065,0,26669,2026-02-25,unknown,4859093,177.83,Technology,4.55,Common Stock
SPY251125P00665000,2025-11-25,2025-11-25 21:01:22+00,233137,10608,19290754.00,105400,116362,0,2.69,0.01,0.77,0.01,0.2021872929562486,0.00,0.01,33108,0.8274428340417865890013168231,11354,22873,21,33794,33528,14,21,5730,,,10564663,675,,0.88,ETF
SPY251125P00666000,2025-11-25,2025-11-25 21:01:22+00,230871,7817,24542132.00,105404,110397,0,3.21,0.01,1.00,0.01,0.1843538693947812,0.00,0.01,33908,1.0630235932620381078610999205,15070,20525,0,46953,47318,0,0,8956,,,10564663,675,,1.07,ETF
SPY251125P00669000,2025-11-25,2025-11-25 21:00:38+00,229926,6208,28666242.00,98101,118178,0,5.17,0.01,2.07,0.01,0.1882859102987294,0.00,0.01,31093,1.2467594791367657420213459991,13647,13154,0,112849,104978,1,0,8995,,,10564663,675,,1.95,ETF
QQQ251125P00600000,2025-11-25,2025-11-25 21:00:16+00,229682,8720,33130274.00,103352,109542,0,4.36,0.01,1.20,0.01,0.473778495418741,0.00,0.01,31360,1.4424410271592898006809414808,16788,16747,0,110975,97129,0,0,15550,,,6269127,608.9,,0.89,ETF
QQQ251125C00607000,2025-11-25,2025-11-25 21:01:34+00,225043,3117,18052165.00,106134,104406,45,3.25,0.15,0.80,2.28,0.0766536554283591,2.10,2.40,27458,0.8021651417729056224810369695,14503,16106,0,61026,59300,5,0,19913,,,6269127,608.9,,2.07,ETF
NVDA251128C00175000,2025-11-25,2025-11-25 20:59:56+00,218972,7127,58168203.00,92269,98220,650,4.80,1.46,3.45,4.55,0.458473378502798,4.55,4.60,30228,2.6564219626253584933233472726,28483,6211,0,41752,42207,10128,0,18858,2026-02-25,unknown,4859093,177.83,Technology,8.30,Common Stock
SPY251125P00672000,2025-11-25,2025-11-25 21:00:12+00,216872,950,11251797.00,95836,115665,0,7.65,0.01,3.91,0.01,0.2056810813138176,0.00,0.01,26349,0.5188220240510531557785237364,5371,8584,0,149369,169182,11,0,6899,,,10564663,675,,3.47,ETF
SPY251125C00676000,2025-11-25,2025-11-25 21:01:38+00,208496,9880,2124504.00,101974,103018,0,0.35,0.01,0.08,0.01,0.01988992965265857,0.00,0.01,17563,0.1018966311104289770547156777,3504,3959,0,1771,1489,0,0,14565,,,10564663,675,,0.14,ETF
QQQ251125C00606000,2025-11-25,2025-11-25 21:01:08+00,198351,3702,19415127.00,95860,88524,25,4.27,0.25,1.09,3.15,0.1222692225224257,2.99,3.28,26204,0.9788267767745058003236686535,13967,13182,0,76558,80234,105,0,12198,,,6269127,608.9,,2.58,ETF
QQQ251125C00605000,2025-11-25,2025-11-25 21:00:54+00,190798,5384,22375045.00,93265,85173,25,5.25,0.37,1.58,3.97,0.2107718942897338,3.84,4.14,28331,1.1727085713686726275956771074,12360,11437,0,83537,85486,3,0,11468,,,6269127,608.9,,3.20,ETF
SPY251125C00669000,2025-11-25,2025-11-25 21:00:30+00,190522,6799,33612884.00,87382,85252,0,7.15,0.65,1.63,5.90,0.876161488581299,5.90,5.97,32603,1.7642521073681779532022548604,17888,15489,0,163001,142300,243,0,8348,,,10564663,675,,2.28,ETF
NVDA251128P00165000,2025-11-25,2025-11-25 20:59:52+00,188777,123241,12934635.00,79876,101145,0,2.01,0.21,0.75,0.22,0.535010877039712,0.22,0.23,16572,0.6851806628985522600740556296,7756,2922,0,19900,20710,1,0,5841,2026-02-25,unknown,4859093,177.83,Technology,0.22,Common Stock
NVDA251128P00170000,2025-11-25,2025-11-25 20:59:58+00,173617,32056,37183069.00,78693,75475,0,3.85,0.56,1.27,0.61,0.485171478428186,0.59,0.60,29080,2.1416721288813883433073950136,19449,8711,0,36389,37502,8,0,11427,2026-02-25,unknown,4859093,177.83,Technology,0.42,Common Stock
