option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251126C00681000,2025-11-26,2025-11-26 21:14:58+00,901536,12534,51306828.00,436656,438943,1200,1.28,0.01,0.22,0.01,0.00762487237842549,0.00,0.01,100995,0.5691045948248322862314982441,25937,54445,0,26015,25876,5,0,18795,,,11581493,679.68,,0.14,ETF
SPY251126C00680000,2025-11-26,2025-11-26 21:14:56+00,729963,15760,68007000.00,353088,342298,600,2.04,0.04,0.43,0.15,0.003078077889381134,0.15,0.18,94732,0.9316499603404556121337656847,34577,51100,0,106554,104485,7,0,17751,,,11581493,679.68,,0.25,ETF
SPY251126C00682000,2025-11-26,2025-11-26 21:13:18+00,686453,6698,19630994.00,358510,319044,600,0.69,0.01,0.12,0.01,0.01405343808092185,0.00,0.01,70190,0.2859772482602596244753828795,8899,21280,0,4789,4920,1,0,19274,,,11581493,679.68,,0.09,ETF
SPY251126P00680000,2025-11-26,2025-11-26 21:14:58+00,672178,779,36556759.00,318833,332884,100,3.61,0.01,2.85,0.02,0.002136283638175497,0.01,0.02,68422,0.5438553329623998405184340971,20461,41002,0,79298,96460,66,0,11094,,,11581493,679.68,,4.77,ETF
QQQ251126C00615000,2025-11-26,2025-11-26 21:14:56+00,438750,9371,35414467.00,208637,203227,220,1.74,0.01,0.73,0.01,0.003571359362599021,0.01,0.02,55268,0.8071673390313390313390313425,26886,25011,0,63992,67556,13,0,16868,,,5620877,614.27,,0.31,ETF
SPY251126P00681000,2025-11-26,2025-11-26 21:14:42+00,432173,9,33714091.00,203814,204104,100,4.42,0.10,3.70,0.89,0.317529880355043,0.74,0.96,50050,0.7801063694400159195507354793,24255,20331,0,122593,147652,0,0,11380,,,11581493,679.68,,5.97,ETF
SPY251126P00678000,2025-11-26,2025-11-26 21:14:56+00,416064,1690,31572041.00,191402,207335,0,2.27,0.01,1.66,0.01,0.01553373858946955,0.00,0.01,50335,0.7588265507229656975849869240,17327,15868,0,37008,38071,1,0,19642,,,11581493,679.68,,3.21,ETF
SPY251126C00679000,2025-11-26,2025-11-26 21:14:30+00,406364,11395,51891817.00,195326,190867,0,2.92,0.61,0.73,0.99,0.01373230622916556,0.99,1.18,64846,1.2769786939787973344095441442,20071,33597,100,155663,155497,0,100,10285,,,11581493,679.68,,0.41,ETF
SPY251126P00679000,2025-11-26,2025-11-26 21:13:04+00,392447,464,25238067.00,182345,197632,0,2.90,0.01,2.20,0.01,0.01066850636105249,0.00,0.01,43539,0.6430949147273389782569366118,12470,22763,0,57534,60174,0,0,11082,,,11581493,679.68,,4.04,ETF
QQQ251126C00616000,2025-11-26,2025-11-26 21:13:32+00,365973,3366,17263612.00,177690,174508,0,1.08,0.01,0.50,0.01,0.00990799565983739,0.00,0.01,43199,0.4717181868607793471103059561,13775,21887,0,19306,19569,1,0,13551,,,5620877,614.27,,0.22,ETF
SPY251126C00683000,2025-11-26,2025-11-26 21:12:02+00,355904,3893,4483242.00,170670,182791,0,0.32,0.01,0.06,0.01,0.02152938623276885,0.00,0.01,29087,0.1259677328717856500629383171,2443,9942,0,768,818,0,0,14733,,,11581493,679.68,,0.06,ETF
QQQ251126P00615000,2025-11-26,2025-11-26 21:14:52+00,317083,609,23263032.00,150284,147492,245,4.92,0.06,3.47,0.21,0.00605774421122342,0.21,0.34,33983,0.7336574966176048542495182623,19307,17788,0,93099,92387,0,0,9163,,,5620877,614.27,,6.62,ETF
SPY251126P00677000,2025-11-26,2025-11-26 21:14:54+00,310753,1057,22306237.00,139463,159135,0,1.77,0.01,1.14,0.01,0.02160741536950448,0.01,0.02,40988,0.7178124426795557886810424978,12155,16187,0,20965,21718,0,0,12656,,,11581493,679.68,,2.49,ETF
SPY251126C00678000,2025-11-26,2025-11-26 21:14:50+00,241457,9536,44705684.00,110051,109850,0,3.84,1.00,1.20,2.10,0.926671160285923,1.98,2.28,39266,1.8514967054175277585657073487,21556,19639,0,194978,171883,3,0,10176,,,11581493,679.68,,0.63,ETF
QQQ251126P00614000,2025-11-26,2025-11-26 21:13:12+00,241310,214,15232792.00,108466,119461,90,4.09,0.01,2.63,0.01,0.00943872116842719,0.00,0.01,27926,0.6312540715262525382288342775,13383,17695,0,89855,86736,0,0,6914,,,5620877,614.27,,5.19,ETF
QQQ251126C00614000,2025-11-26,2025-11-26 21:14:38+00,214679,6928,26234565.00,101085,96857,140,2.52,0.38,1.09,0.72,0.01314040596499539,0.52,0.81,34319,1.2220368550254100307901564610,16737,14167,0,93534,104581,2,0,11536,,,5620877,614.27,,0.48,ETF
NVDA251128C00182500,2025-11-26,2025-11-26 20:59:58+00,210983,50177,26886003.00,98902,95082,990,2.65,0.64,2.00,0.67,0.2844337722419139,0.67,0.68,26397,1.2743208220567533877137020517,16996,10766,3,31723,33506,10,3,21129,2026-02-25,unknown,2853301,180.26,Technology,1.00,Common Stock
SPXW251126C06830000,2025-11-26,2025-11-26 21:00:00+00,205161,6455,69863872.00,84793,88617,2123,9.20,0.02,1.25,0.05,4.76767687434506,0.00,0.05,79721,3.4053193345713853997592134955,31621,607,0,68760,70073,0,130,43951,,,3996388,,,1.05,
NVDA251128C00185000,2025-11-26,2025-11-26 20:59:58+00,205067,68539,12179220.00,104740,86250,480,1.50,0.20,1.08,0.21,0.2859129089235499,0.20,0.21,20784,0.5939141841446941731239058439,14077,9132,0,11179,10961,6,0,28643,2026-02-25,unknown,2853301,180.26,Technology,0.51,Common Stock
QQQ251126C00617000,2025-11-26,2025-11-26 21:14:42+00,204446,2561,4861701.00,99098,101504,0,0.59,0.01,0.30,0.01,0.01838501555144867,0.00,0.01,25071,0.2377987830527376422135918512,3844,8257,0,4979,4717,6,0,15907,,,5620877,614.27,,0.13,ETF
SPY251219P00505000,2025-11-26,2025-11-26 21:14:04+00,200267,216137,3604491.00000000,200161,106,200000,0.20,0.15,0.20,0.16,0.482003333227482,0.15,0.16,23,0.1799842709982173797979697103,0,6,0,71,87,0,0,200103,,,11581493,679.68,,0.25,ETF
SPY251126P00675000,2025-11-26,2025-11-26 21:13:50+00,199635,9706,8477668.00,85409,109559,0,1.06,0.01,0.58,0.01,0.03485019591691679,0.00,0.01,23977,0.4246584015828887720089162729,4667,7353,0,6358,6340,9,0,10727,,,11581493,679.68,,1.55,ETF
QQQ251126C00613000,2025-11-26,2025-11-26 21:14:38+00,197614,3102,32852314.00,89638,92039,20,3.42,0.68,1.56,1.70,0.03040828957264775,1.55,1.90,29019,1.6624487131478538969911038699,15937,16450,0,85193,87298,20,0,6929,,,5620877,614.27,,0.68,ETF
SPY251126P00676000,2025-11-26,2025-11-26 21:14:36+00,195778,3583,11329006.00,95000,96601,0,1.37,0.01,0.91,0.01,0.02784853939132722,0.00,0.01,24312,0.5786659379501271848726618888,4177,10228,0,12235,12822,0,0,20191,,,11581493,679.68,,1.99,ETF
QQQ251126P00612000,2025-11-26,2025-11-26 21:07:18+00,183714,475,18389129.00,80903,90887,0,2.75,0.01,1.65,0.01,0.03084500291203929,0.00,0.01,25693,1.0009650326050273795138095123,11924,9218,0,70464,67402,0,0,8223,,,5620877,614.27,,3.99,ETF
NVDA251128C00180000,2025-11-26,2025-11-26 20:59:58+00,180286,61145,43327832.00,78691,75059,2480,4.20,1.58,2.85,1.73,0.2960261584772058,1.72,1.73,22036,2.4032832277603363544590262167,25186,5844,1350,53208,58488,336,1350,28210,2026-02-25,unknown,2853301,180.26,Technology,1.79,Common Stock
SPY251128C00680000,2025-11-26,2025-11-26 21:14:54+00,177376,25678,33967934.00,80106,77775,0,3.06,0.97,1.23,1.71,0.0825216918254186,1.69,1.71,23481,1.9150242422875699079920620650,19495,11578,0,76990,87748,5,0,7856,,,11581493,679.68,,0.75,ETF
QQQ251126P00613000,2025-11-26,2025-11-26 21:11:54+00,171418,362,14917987.00,81406,81195,0,3.32,0.01,2.11,0.01,0.01691595411009642,0.00,0.01,22357,0.8702695749571223558786125196,8817,11763,0,88075,82921,0,0,7773,,,5620877,614.27,,4.50,ETF
SPXW251126C06825000,2025-11-26,2025-11-26 21:00:00+00,164461,12980,78170646.00,64051,66808,2871,12.30,0.02,1.85,0.05,5.05475293081219,0.00,0.05,63256,4.7531418390986312864448106198,33602,436,0,83568,84468,0,0,43834,,,3996388,,,1.15,
IWM251126C00247000,2025-11-26,2025-11-26 21:13:58+00,161161,13325,7301800.00,85568,66775,0,1.82,0.14,0.14,0.23,0.00994965195153219,0.17,0.25,19326,0.4530748754351238823288512766,8818,6953,0,17535,17208,5,0,1370,,,1793480,247.3,,0.28,ETF
SPY251128C00681000,2025-11-26,2025-11-26 21:14:56+00,157308,5353,26265036.00,67809,71723,0,2.38,0.68,0.87,1.16,0.0779816223387867,1.15,1.17,19904,1.6696567243878251582881989506,17776,7798,0,56686,54360,1,0,6967,,,11581493,679.68,,0.54,ETF
SPXW251126C06835000,2025-11-26,2025-11-26 21:00:00+00,156915,9422,38102258.00,54672,74155,6345,6.50,0.02,1.00,0.05,8.375094361087,0.00,0.05,53454,2.4282100500270847274001848191,28088,121,0,53213,53739,0,0,61441,,,3996388,,,0.70,
QQQ251126P00610000,2025-11-26,2025-11-26 21:12:32+00,156709,929,11254154.00,68020,79553,0,1.77,0.01,1.05,0.01,0.03754091905437246,0.00,0.01,21660,0.7181562003458639899431430221,9136,7819,0,33644,31319,0,0,5978,,,5620877,614.27,,2.75,ETF
